Country,Code,Year,FossilFuels,Nuclear,Renewables
Australia,AUS,2000,180.73756,0,17.422
Australia,AUS,2001,193.73682,0,18.001
Australia,AUS,2002,196.93376,0,17.712
Australia,AUS,2003,195.11956,0,18.509
Australia,AUS,2004,204.55246,0,18.52
Australia,AUS,2005,195.7503,0,19.95
Australia,AUS,2006,198.42084,0,21.481
Australia,AUS,2007,208.64898,0,20.866
Australia,AUS,2008,209.94806,0,19.606
Australia,AUS,2009,216.28,0,18.465
Australia,AUS,2010,217.03942,0,21.72
Australia,AUS,2011,213.78702,0,26.273
Australia,AUS,2012,211.03846,0,26.318
Australia,AUS,2013,203.52034,0,32.705
Australia,AUS,2014,198.58064,0,36.112
Australia,AUS,2015,204.79874,0,33.423
Australia,AUS,2016,205.9681,0,37.152
Australia,AUS,2017,204.51016,0,40.206
Australia,AUS,2018,203.38404,0,44.443
Australia,AUS,2019,199.27906,0,54.399849
Australia,AUS,2020,188.84439,0,62.503589
Brazil,BRA,2000,28.42842,4.94,309.2051
Brazil,BRA,2001,34.68788,14.268,274.2121
Brazil,BRA,2002,32.94606,13.84,293.5111
Brazil,BRA,2003,30.98052,13.4,314.5151
Brazil,BRA,2004,39.45556,11.6,330.1261
Brazil,BRA,2005,38.75808,9.197,347.7662
Brazil,BRA,2006,38.66408,12.984,360.2772
Brazil,BRA,2007,36.59138,11.65,388.9452
Brazil,BRA,2008,54.95334,13.209,386.5152
Brazil,BRA,2009,35.52354,12.224,410.9182
Brazil,BRA,2010,60.04532,13.774,432.929
Brazil,BRA,2011,49.1338,14.795,459.191
Brazil,BRA,2012,75.83356,15.17,451.891
Brazil,BRA,2013,110.29772,14.645,434.429
Brazil,BRA,2014,134.65688,14.463,428.619
Brazil,BRA,2015,127.51476,13.892,427.281
Brazil,BRA,2016,91.38116,14.97046,461.613
Brazil,BRA,2017,100.16922,14.85433,462.938
Brazil,BRA,2018,85.00796,15.674,490.928
Brazil,BRA,2019,89.07628,15.224,511.053
Brazil,BRA,2020,82.36561741,13.1497642,510.2112816
Canada,CAN,2000,155.805,69.159,363.46
Canada,CAN,2001,160.52004,72.858,338.984
Canada,CAN,2002,155.63204,71.75,356.558
Canada,CAN,2003,157.22816,71.147,344.009
Canada,CAN,2004,149.2955,85.868,347.244
Canada,CAN,2005,150.535,86.831,369.001
Canada,CAN,2006,139.64,92.436,360.582
Canada,CAN,2007,149.362,88.193,375.434
Canada,CAN,2008,141.806,88.299,384.642
Canada,CAN,2009,130.475,85.129,381.463
Canada,CAN,2010,131.37628,85.501,368.927
Canada,CAN,2011,132.41404,88.318,394.433
Canada,CAN,2012,125.6404,89.06,401.106
Canada,CAN,2013,123.66264,96.97122,419.705
Canada,CAN,2014,123.52258,98.588,414.21
Canada,CAN,2015,126.52776,95.637,417.339
Canada,CAN,2016,124.03394,95.65019,426.154
Canada,CAN,2017,112.99646,95.1312,437.096
Canada,CAN,2018,112.56876,95.037,429.615
Canada,CAN,2019,113.72684,94.854,423.820163
Canada,CAN,2020,104.5585449,93.237202,430.5202781
China,CHN,2000,1079.952492,15.903,223.246
China,CHN,2001,1169.464879,16.597,277.869
China,CHN,2002,1320.533803,25.166,288.437
China,CHN,2003,1532.582855,41.661,284.368
China,CHN,2004,1759.211086,47.946,353.823
China,CHN,2005,1973.426641,50.332,397.67
China,CHN,2006,2304.524086,54.844,421.243
China,CHN,2007,2684.536817,62.863,479.672
China,CHN,2008,2768.493811,69.219,593.638
China,CHN,2009,2993.042,70.05,611.807
China,CHN,2010,3398.282,74.742,752.445
China,CHN,2011,3866,87.2,766.2
China,CHN,2012,3893.9,98.3,994.28
China,CHN,2013,4183.3,111.5,1077.38
China,CHN,2014,4181.3,133.2,1290
China,CHN,2015,4176.8,171.4,1391.8
China,CHN,2016,4261.9,213.2,1547.7
China,CHN,2017,4506.4,248.1,1694.2
China,CHN,2018,4831.3,294.4,1870.5
China,CHN,2019,4934.7416,348.7,2043.2584
China,CHN,2020,5044.956528,366.2,2212.539744
France,FRA,2000,50.62,415.162,69.402939
France,FRA,2001,46.472,421.076,77.738761
France,FRA,2002,52.664,436.76,64.206739
France,FRA,2003,57.377,441.07,63.056525
France,FRA,2004,56.529,448.241,63.940409
France,FRA,2005,63.356,451.529,56.324843
France,FRA,2006,56.902,450.191,62.339645
