year,ppmv,
2001,368.0224879,
1998,361.7807366,
1996,359.6477932,
1994,357.1067397,
1993,353.9466853,
1992,353.7242358,
1991,352.4163084,
1989,350.8086522,
1989,349.8002704,
1988,349.2784146,
1988,347.5974056,
1987,345.441206,
1986,344.7177686,
1986,343.9736768,
1985,343.1107521,
1984,342.0519764,
1983,341.3292967,
1983,339.4604885,
1979,334.8485555,
1976,335.5469535,
1976,332.3689555,
1975,332.3656863,
1974,331.5498057,
1972,328.415888,
1972,330.3504422,
1970,326.3093257,
1970,326.6491948,
1970,324.9059937,
1970,324.5570617,
1969,324.7060576,
1968,325.0771759,
1968,324.0855174,
1968,320.3806508,
1966,320.4923554,
1966,322.1747797,
1965,320.9815664,
1965,319.1950596,
1965,319.8929363,
1963,319.123473,
1963,319.0660644,
1962,318.6110626,
1962,317.4481355,
1962,319.1381732,
1962,317.521628,
1961,316.5926101,
1960,318.2065804,
1960,313.0933881,
1959,311.9838924,
1958,316.33402,
1958,316.1014029,
1957,314.5721663,
1957,315.2703546,
1957,316.3253802,
1957,314.4370578,
1956,315.3420739,
1954,314.7139613,
1953,313.171057,
1953,312.8003638,
1953,312.2227408,
1952,312.1844627,
1950,312.0017776,
1949,313.6602846,
1948,309.6939936,
1947,311.57095,
1946,310.3629002,
1946,312.8663621,
1945,312.5596868,
1945,311.9671347,
1945,311.8114965,
1944,310.4402044,
1944,311.2775835,
1944,310.2243096,
1943,312.3616402,
1942,311.8780536,
1942,312.843733,
1941,312.3939386,
1940,311.8022677,
1940,307.7386636,
1939,309.800915,
1939,310.9510867,
1939,311.2117943,
1938,310.4566675,
1938,308.4798278,
1938,311.9410288,
1937,311.5205097,
1937,312.3293255,
1936,307.4076932,
1935,309.3446869,
1935,307.2585986,
1935,306.3197984,
1933,309.6306261,
1933,307.0755443,
1932,305.9440282,
1932,308.2791992,
1932,308.2555622,
1930,305.7409187,
1929,305.3808267,
1928,305.7829415,
1928,305.7053722,
1928,305.6678685,
1927,308.0187419,
1925,304.9691568,
1924,304.7159147,
1922,306.1986243,
1922,303.1815383,
1919,301.8758604,
1918,304.6132073,
1917,303.8522213,
1915,301.9151507,
1914,300.7000887,
1912,301.2977262,
1911,299.2572775,
1911,297.7268154,
1910,298.106247,
1909,297.8691068,
1908,301.5041354,
1905,299.6268629,
1905,297.3282186,
1905,299.0235966,
1903,295.9913578,
1901,295.6106368,
1900,294.2207216,
1898,297.0473645,
1898,295.2814575,
1893,293.8088307,
1893,293.1665417,
