LOCATION,RENEWABLEPC_PRYENRGSUPPLY,POP_MLNPER
ARG,0.08571218,44.938712
AUS,0.07312959,25.365745
BRA,0.4562274,210.147125
CAN,0.1615387,37.593384
CHN,0.09673476,1433.783692
DEU,0.1501865,83.092958
FRA,0.1061327,67.215667
GBR,0.1222481,66.796807
IDN,0.2387954,266.9119
IND,0.2313485,1366.417756
ITA,0.1813414,59.729077
JPN,0.06270579,126.166948
KOR,0.02000436,51.709098
MEX,0.08609434,126.577691
OECD,0.1095346,1363.372817
RUS,0.02580188,146.764661
SAU,0.000209527,34.218169
TUR,0.1593154,82.579448
USA,0.07903494,328.329953
ZAF,0.06586925,58.726826
