UTC Time,Measure,Region,Value
01 1 1979,Extent,North,15.41
01 1 1979,Extent,South,5.4
01 1 1979,Area,North,12.41
01 1 1979,Area,South,3.47
01 1 1979,Extent,Combined,20.81
01 1 1979,Area,Combined,15.88
01 1 1980,Extent,North,14.86
01 1 1980,Extent,South,4.56
01 1 1980,Area,North,11.94
01 1 1980,Area,South,3.08
01 1 1980,Extent,Combined,19.42
01 1 1980,Area,Combined,15.02
01 1 1981,Extent,North,14.91
01 1 1981,Extent,South,4.41
01 1 1981,Area,North,11.91
01 1 1981,Area,South,2.84
01 1 1981,Extent,Combined,19.32
01 1 1981,Area,Combined,14.75
01 1 1982,Extent,North,15.18
01 1 1982,Extent,South,5.26
01 1 1982,Area,North,12.19
01 1 1982,Area,South,3.25
01 1 1982,Extent,Combined,20.44
01 1 1982,Area,Combined,15.44
01 1 1983,Extent,North,14.94
01 1 1983,Extent,South,4.77
01 1 1983,Area,North,12.01
01 1 1983,Area,South,3.21
01 1 1983,Extent,Combined,19.71
01 1 1983,Area,Combined,15.22
01 1 1984,Extent,North,14.47
01 1 1984,Extent,South,4.78
01 1 1984,Area,North,11.68
01 1 1984,Area,South,2.93
01 1 1984,Extent,Combined,19.25
01 1 1984,Area,Combined,14.61
01 1 1985,Extent,North,14.72
01 1 1985,Extent,South,4.46
01 1 1985,Area,North,11.69
01 1 1985,Area,South,2.87
01 1 1985,Extent,Combined,19.18
01 1 1985,Area,Combined,14.56
01 1 1986,Extent,North,14.89
01 1 1986,Extent,South,5.42
01 1 1986,Area,North,11.88
01 1 1986,Area,South,3.43
01 1 1986,Extent,Combined,20.31
01 1 1986,Area,Combined,15.31
01 1 1987,Extent,North,14.97
01 1 1987,Extent,South,5.13
01 1 1987,Area,North,11.9
01 1 1987,Area,South,3.31
01 1 1987,Extent,Combined,20.1
01 1 1987,Area,Combined,15.21
01 1 1988,Extent,North,-9999
01 1 1988,Extent,South,-9999
01 1 1988,Area,North,-9999
01 1 1988,Area,South,-9999
01 1 1988,Extent,Combined,-19998
01 1 1988,Area,Combined,-19998
01 1 1989,Extent,North,14.95
01 1 1989,Extent,South,4.74
01 1 1989,Area,North,13.18
01 1 1989,Area,South,3.17
01 1 1989,Extent,Combined,19.69
01 1 1989,Area,Combined,16.35
01 1 1990,Extent,North,14.78
01 1 1990,Extent,South,4.87
01 1 1990,Area,North,12.8
01 1 1990,Area,South,3.39
01 1 1990,Extent,Combined,19.65
01 1 1990,Area,Combined,16.19
01 1 1991,Extent,North,14.36
01 1 1991,Extent,South,5.34
01 1 1991,Area,North,12.57
01 1 1991,Area,South,3.52
01 1 1991,Extent,Combined,19.7
01 1 1991,Area,Combined,16.09
01 1 1992,Extent,North,14.64
01 1 1992,Extent,South,4.75
01 1 1992,Area,North,12.61
01 1 1992,Area,South,3.24
01 1 1992,Extent,Combined,19.39
01 1 1992,Area,Combined,15.85
01 1 1993,Extent,North,14.9
01 1 1993,Extent,South,4.41
01 1 1993,Area,North,12.93
01 1 1993,Area,South,2.55
01 1 1993,Extent,Combined,19.31
01 1 1993,Area,Combined,15.48
01 1 1994,Extent,North,14.73
01 1 1994,Extent,South,4.97
01 1 1994,Area,North,12.88
01 1 1994,Area,South,3.37
01 1 1994,Extent,Combined,19.7
01 1 1994,Area,Combined,16.25
01 1 1995,Extent,North,14.59
01 1 1995,Extent,South,5.64
01 1 1995,Area,North,12.79
01 1 1995,Area,South,3.73
01 1 1995,Extent,Combined,20.23
01 1 1995,Area,Combined,16.52
01 1 1996,Extent,North,14.18
01 1 1996,Extent,South,5.87
01 1 1996,Area,North,12.15
01 1 1996,Area,South,3.55
01 1 1996,Extent,Combined,20.05
01 1 1996,Area,Combined,15.7
01 1 1997,Extent,North,14.42
01 1 1997,Extent,South,4.2
01 1 1997,Area,North,12.39
01 1 1997,Area,South,2.77
01 1 1997,Extent,Combined,18.62
01 1 1997,Area,Combined,15.16
01 1 1998,Extent,North,14.72
01 1 1998,Extent,South,4.46
01 1 1998,Area,North,12.81
01 1 1998,Area,South,3.04
01 1 1998,Extent,Combined,19.18
01 1 1998,Area,Combined,15.85
01 1 1999,Extent,North,14.36
01 1 1999,Extent,South,4.82
01 1 1999,Area,North,12.6
01 1 1999,Area,South,3.11
01 1 1999,Extent,Combined,19.18
01 1 1999,Area,Combined,15.71
01 1 2000,Extent,North,14.22
01 1 2000,Extent,South,4.75
01 1 2000,Area,North,12.3
01 1 2000,Area,South,2.92
01 1 2000,Extent,Combined,18.97
01 1 2000,Area,Combined,15.22
01 1 2001,Extent,North,14.2
01 1 2001,Extent,South,5.23
01 1 2001,Area,North,12.35
01 1 2001,Area,South,3.64
01 1 2001,Extent,Combined,19.43
01 1 2001,Area,Combined,15.99
01 1 2002,Extent,North,14.27
01 1 2002,Extent,South,4.74
01 1 2002,Area,North,12.26
01 1 2002,Area,South,2.95
