Year,Measure,Value
1850,Median,-0.373
1851,Median,-0.218
1852,Median,-0.228
1853,Median,-0.269
1854,Median,-0.248
1855,Median,-0.272
1856,Median,-0.358
1857,Median,-0.461
1858,Median,-0.467
1859,Median,-0.284
1860,Median,-0.343
1861,Median,-0.407
1862,Median,-0.524
1863,Median,-0.278
1864,Median,-0.494
1865,Median,-0.279
1866,Median,-0.251
1867,Median,-0.321
1868,Median,-0.238
1869,Median,-0.262
1870,Median,-0.276
1871,Median,-0.335
1872,Median,-0.227
1873,Median,-0.304
1874,Median,-0.368
1875,Median,-0.395
1876,Median,-0.384
1877,Median,-0.075
1878,Median,0.035
1879,Median,-0.23
1880,Median,-0.227
1881,Median,-0.2
1882,Median,-0.213
1883,Median,-0.296
1884,Median,-0.409
1885,Median,-0.389
1886,Median,-0.367
1887,Median,-0.418
1888,Median,-0.307
1889,Median,-0.171
1890,Median,-0.416
1891,Median,-0.33
1892,Median,-0.455
1893,Median,-0.473
1894,Median,-0.41
1895,Median,-0.39
1896,Median,-0.186
1897,Median,-0.206
1898,Median,-0.412
1899,Median,-0.289
1900,Median,-0.203
1901,Median,-0.259
1902,Median,-0.402
1903,Median,-0.479
1904,Median,-0.52
1905,Median,-0.377
1906,Median,-0.283
1907,Median,-0.465
1908,Median,-0.511
1909,Median,-0.522
1910,Median,-0.49
1911,Median,-0.544
1912,Median,-0.437
1913,Median,-0.424
1914,Median,-0.244
1915,Median,-0.141
1916,Median,-0.383
1917,Median,-0.468
1918,Median,-0.333
1919,Median,-0.275
1920,Median,-0.247
1921,Median,-0.187
1922,Median,-0.302
1923,Median,-0.276
1924,Median,-0.294
1925,Median,-0.215
1926,Median,-0.108
1927,Median,-0.21
1928,Median,-0.206
1929,Median,-0.35
1930,Median,-0.137
1931,Median,-0.087
1932,Median,-0.137
1933,Median,-0.273
1934,Median,-0.131
1935,Median,-0.178
1936,Median,-0.147
1937,Median,-0.026
1938,Median,-0.006
1939,Median,-0.052
1940,Median,0.014
1941,Median,0.02
1942,Median,-0.027
1943,Median,-0.004
1944,Median,0.144
1945,Median,0.025
1946,Median,-0.071
1947,Median,-0.038
1948,Median,-0.039
1949,Median,-0.074
1950,Median,-0.173
1951,Median,-0.052
1952,Median,0.028
1953,Median,0.097
1954,Median,-0.129
1955,Median,-0.19
1956,Median,-0.267
1957,Median,-0.007
1958,Median,0.046
1959,Median,0.017
1960,Median,-0.049
1961,Median,0.038
1962,Median,0.014
1963,Median,0.048
1964,Median,-0.223
1965,Median,-0.14
1966,Median,-0.068
1967,Median,-0.074
1968,Median,-0.113
1969,Median,0.032
1970,Median,-0.027
1971,Median,-0.186
1972,Median,-0.065
1973,Median,0.062
1974,Median,-0.214
1975,Median,-0.149
1976,Median,-0.241
1977,Median,0.047
1978,Median,-0.062
1979,Median,0.057
1980,Median,0.092
1981,Median,0.14
1982,Median,0.011
1983,Median,0.194
1984,Median,-0.014
1985,Median,-0.03
1986,Median,0.045
1987,Median,0.192
1988,Median,0.198
1989,Median,0.118
1990,Median,0.296
1991,Median,0.254
1992,Median,0.105
1993,Median,0.148
1994,Median,0.208
1995,Median,0.325
1996,Median,0.183
1997,Median,0.39
1998,Median,0.539
1999,Median,0.306
2000,Median,0.294
2001,Median,0.441
2002,Median,0.496
2003,Median,0.505
2004,Median,0.447
2005,Median,0.545
2006,Median,0.506
2007,Median,0.491
2008,Median,0.395
2009,Median,0.506
2010,Median,0.56
2011,Median,0.425
2012,Median,0.47
2013,Median,0.514
2014,Median,0.579
2015,Median,0.763
2016,Median,0.797
2017,Median,0.677
2018,Median,0.597
2019,Median,0.736
1850,Upper,-0.339
1851,Upper,-0.184
1852,Upper,-0.196
1853,Upper,-0.239
1854,Upper,-0.218
1855,Upper,-0.241
1856,Upper,-0.327
1857,Upper,-0.431
1858,Upper,-0.435
1859,Upper,-0.249
1860,Upper,-0.31
1861,Upper,-0.356
1862,Upper,-0.471
1863,Upper,-0.226
