year,mo,region,extent,area
1979,Jan,N,15.41,12.41
1979,Feb,N,16.18,13.18
1979,Mar,N,16.34,13.21
1979,Apr,N,15.45,12.53
1979,May,N,13.86,11.11
1979,Jun,N,12.53,9.34
1979,Jul,N,10.31,6.69
1979,Aug,N,8.04,5.06
1979,Sep,N,7.05,4.58
1979,Oct,N,8.75,6.19
1979,Nov,N,10.94,8.37
1979,Dec,N,13.34,10.63
1979,Jan,S,5.4,3.47
1979,Feb,S,3.14,2.11
1979,Mar,S,4,2.66
1979,Apr,S,7.49,5.45
1979,May,S,10.83,8.3
1979,Jun,S,14.19,11.22
1979,Jul,S,16.52,13.26
1979,Aug,S,17.7,13.79
1979,Sep,S,18.2,14.29
1979,Oct,S,17.82,13.72
1979,Nov,S,15.34,11.32
1979,Dec,S,9.24,6.24
1980,Jan,N,14.86,11.94
1980,Feb,N,15.96,12.9
1980,Mar,N,16.04,12.99
1980,Apr,N,15.43,12.52
1980,May,N,13.79,10.96
1980,Jun,N,12.2,9
1980,Jul,N,10.1,6.53
1980,Aug,N,7.98,4.94
1980,Sep,N,7.67,4.87
1980,Oct,N,9.18,6.5
1980,Nov,N,11.38,8.73
1980,Dec,N,13.59,10.78
1980,Jan,S,4.56,3.08
1980,Feb,S,2.82,1.85
1980,Mar,S,3.29,2.11
1980,Apr,S,5.4,3.68
1980,May,S,8.86,6.44
1980,Jun,S,12.49,9.58
1980,Jul,S,15.56,12.18
1980,Aug,S,17.81,13.96
1980,Sep,S,18.82,14.87
1980,Oct,S,18.57,14.57
1980,Nov,S,16.13,11.84
1980,Dec,S,10.16,6.56
1981,Jan,N,14.91,11.91
1981,Feb,N,15.6,12.53
1981,Mar,N,15.63,12.71
1981,Apr,N,15.01,12.24
1981,May,N,13.8,10.99
1981,Jun,N,12.43,9.03
1981,Jul,N,10.27,6.31
1981,Aug,N,7.84,4.48
1981,Sep,N,7.14,4.44
1981,Oct,N,8.86,6.27
1981,Nov,N,10.93,8.31
1981,Dec,N,13.34,10.54
1981,Jan,S,4.41,2.84
1981,Feb,S,2.87,1.74
1981,Mar,S,3.39,2.16
1981,Apr,S,5.84,4.07
1981,May,S,9.35,7.08
1981,Jun,S,13.11,10.16
1981,Jul,S,16.04,12.78
1981,Aug,S,17.74,14.16
1981,Sep,S,18.6,14.78
1981,Oct,S,18.29,14.43
1981,Nov,S,16.11,12.07
1981,Dec,S,10.89,7.02
1982,Jan,N,15.18,12.19
1982,Feb,N,15.97,12.87
1982,Mar,N,16.04,13.07
1982,Apr,N,15.47,12.63
1982,May,N,13.97,11.17
1982,Jun,N,12.48,9.46
1982,Jul,N,10.37,6.87
1982,Aug,N,8.14,5
1982,Sep,N,7.3,4.43
1982,Oct,N,9.42,6.67
1982,Nov,N,11.63,9.06
1982,Dec,N,13.64,10.88
1982,Jan,S,5.26,3.25
1982,Feb,S,3.13,1.86
1982,Mar,S,4.29,2.84
1982,Apr,S,7.72,5.79
1982,May,S,10.76,8.27
1982,Jun,S,13.42,10.5
1982,Jul,S,15.87,12.47
1982,Aug,S,17.79,14.28
1982,Sep,S,18.35,14.53
1982,Oct,S,17.79,13.74
1982,Nov,S,15.54,11.27
1982,Dec,S,9.22,6.31
1983,Jan,N,14.94,12.01
1983,Feb,N,16.01,12.94
1983,Mar,N,16.09,12.93
1983,Apr,N,15.17,12.21
1983,May,N,13.49,10.87
1987,Jun,      N,7.63,-9999
1983,Jul,N,12.3,9.27
1983,Aug,N,10.57,6.86
1983,Sep,N,8.19,4.97
1987,Oct,      N,-9999,-9999
1988,Nov,      N,-9999,-9999
1983,Dec,N,7.39,4.7
1983,Jan,N,9.33,6.79
1983,Feb,N,11.46,8.99
1983,Mar,N,13.3,10.63
1983,Apr,S,4.77,3.21
1983,May,S,3.07,1.91
1983,Jun,S,4.02,2.62
1983,Jul,S,6.47,4.7
1983,Aug,S,9.53,7.16
1983,Sep,S,12.64,9.77
1983,Oct,S,15.47,12.37
1983,Nov,S,17.25,13.84
1983,Dec,S,18.59,14.68
1983,Jan,S,17.92,13.92
1983,Feb,S,16.01,11.57
1983,Mar,S,10.39,6.71
1984,Apr,N,14.47,11.68
1984,May,N,15.3,12.26
1984,Jun,N,15.58,12.55
1984,Jul,N,15.01,12.18
1984,Aug,N,13.58,10.88
1984,Sep,N,12.15,9.09
1984,Oct,N,9.98,6.3
1984,Nov,N,7.77,4.68
1984,Dec,N,6.81,4.11
1984,Jan,N,8.56,5.91
1984,Feb,N,10.84,8.24
1984,Mar,N,12.99,10.27
1984,Apr,S,4.78,2.93
1984,May,S,2.68,1.75
1984,Jun,S,3.61,2.34
1984,Jul,S,6.42,4.53
1984,Aug,S,9.75,7.41
1984,Sep,S,13.23,10.64
1984,Oct,S,16.4,13.38
1984,Nov,S,17.93,14.23
1984,Dec,S,18.17,14.27
1984,Jan,S,17.57,13.73
1984,Feb,S,16.13,12.06
1984,Mar,S,10.47,6.96
1985,Apr,N,14.72,11.69
1985,May,N,15.47,12.48
1985,Jun,N,15.89,12.75
1985,Jul,N,15.36,12.54
1985,Aug,N,14.07,11.25
1985,Sep,N,12.22,8.96
1985,Oct,N,9.74,5.99
1985,Nov,N,7.4,4.6
1985,Dec,N,6.7,4.23
1985,Jan,N,8.55,6.12
1985,Feb,N,11.02,8.42
1985,Mar,N,13.05,10.24
1985,Apr,S,4.46,2.87
1985,May,S,2.84,1.83
1985,Jun,S,3.72,2.54
1985,Jul,S,6.49,4.74
1985,Aug,S,10.15,7.84
1985,Sep,S,13.43,10.51
1985,Oct,S,15.72,12.48
1985,Nov,S,17.63,14.24
1985,Dec,S,18.7,14.72
1985,Jan,S,18.2,14.37
1985,Feb,S,16.14,12.34
1985,Mar,S,11.35,7.46
1986,Apr,N,14.89,11.88
1986,May,N,15.78,12.62
1986,Jun,N,15.91,12.72
1986,Jul,N,15.06,12.04
1986,Aug,N,13.38,10.7
1986,Sep,N,11.98,8.99
1986,Oct,N,10.15,6.62
1986,Nov,N,7.98,5.01
1986,Dec,N,7.41,4.72
1986,Jan,N,9.48,6.83
1986,Feb,N,11.45,8.87
1986,Mar,N,13.22,10.53
1986,Apr,S,5.42,3.43
1986,May,S,3.19,2
1986,Jun,S,3.7,2.38
1986,Jul,S,6.39,4.56
1986,Aug,S,9.3,7.04
1986,Sep,S,12.69,9.72
1986,Oct,S,15.32,12.09
1986,Nov,S,17,13.46
1986,Dec,S,17.68,13.88
1986,Jan,S,17.18,13.32
1986,Feb,S,15.01,10.87
1986,Mar,S,9.65,6.49
1987,Apr,N,14.97,11.9
1987,May,N,16.05,13.02
1987,Jun,N,15.82,12.83
1987,Jul,N,15.21,12.35
1987,Aug,N,13.74,10.97
1987,Sep,N,12.49,9.39
1987,Oct,N,10.33,6.55
1987,Nov,N,7.28,5.64
1987,Dec,N,9.05,7.49
1987,Jan,N,11.22,9.73
1987,Feb,S,5.13,3.31
1987,Mar,S,3.25,2
1987,Apr,S,4.11,2.75
1987,May,S,6.8,5.04
1987,Jun,S,9.69,7.53
1987,Jul,S,12.68,9.91
1987,Aug,S,15.75,12.5
1987,Sep,S,17.6,14.02
1987,Oct,S,18.25,14.27
1987,Nov,S,17.67,13.71
1987,Dec,S,15.58,11.23
1987,Jan,      S,-9999,-9999
1988,Feb,N,15.58,13.57
1988,Mar,N,15.96,13.9
1988,Apr,N,15.12,13.18
1988,May,N,13.56,11.41
1988,Jun,N,11.94,9.68
1988,Jul,N,9.81,7.01
1988,Aug,N,7.89,5.42
1988,Sep,N,7.37,5.36
1988,Oct,N,9.13,7.52
1988,Nov,N,11.33,9.91
1988,Dec,N,13.63,11.99
1988,Jan,      S,-9999,-9999
1988,Feb,S,2.89,1.9
1988,Mar,S,3.97,2.59
1988,Apr,S,6.29,4.44
1988,May,S,9.6,7.23
1988,Jun,S,13.09,10.28
1988,Jul,S,15.75,12.62
1988,Aug,S,17.56,13.98
1988,Sep,S,18.31,14.2
1988,Oct,S,18.36,14.41
1988,Nov,S,16.15,12.29
1988,Dec,S,11.06,7.4
1989,Jan,N,14.95,13.18
1989,Feb,N,15.5,13.36
1989,Mar,N,15.42,13.21
1989,Apr,N,14.33,12.36
1989,May,N,13.04,11.35
1989,Jun,N,12.24,9.95
1989,Jul,N,10.13,7.33
1989,Aug,N,7.88,5.56
1989,Sep,N,7.01,4.86
1989,Oct,N,8.83,6.96
1989,Nov,N,11.12,9.46
1989,Dec,N,13.39,11.61
1989,Jan,S,4.74,3.17
1989,Feb,S,2.98,2.03
1989,Mar,S,3.93,2.59
1989,Apr,S,6.31,4.5
1989,May,S,10.3,8
1989,Jun,S,13.58,10.81
1989,Jul,S,15.71,12.58
1989,Aug,S,17.47,14.03
1989,Sep,S,18.12,14.48
1989,Oct,S,17.86,13.85
1989,Nov,S,15.73,11.42
1989,Dec,S,9.84,6.7
1990,Jan,N,14.78,12.8
1990,Feb,N,15.58,13.42
1990,Mar,N,15.87,13.51
1990,Apr,N,14.65,12.28
1990,May,N,13.23,10.9
1990,Jun,N,11.64,9.2
1990,Jul,N,9.25,6.52
1990,Aug,N,6.8,4.99
1990,Sep,N,6.14,4.55
1990,Oct,N,8.48,6.74
1990,Nov,N,11.08,9.64
1990,Dec,N,13.11,11.47
1990,Jan,S,4.87,3.39
1990,Feb,S,3.04,2.21
1990,Mar,S,3.97,2.79
1990,Apr,S,7,5.18
1990,May,S,9.72,7.46
1990,Jun,S,13.08,10.35
1990,Jul,S,15.57,12.27
1990,Aug,S,17.57,14.03
1990,Sep,S,18.19,14.39
1990,Oct,S,17.95,13.8
1990,Nov,S,15.47,11.35
1990,Dec,S,9.95,6.73
1991,Jan,N,14.36,12.57
1991,Feb,N,15.25,13.22
1991,Mar,N,15.42,13.42
1991,Apr,N,14.86,12.87
1991,May,N,13.47,11.5
1991,Jun,N,12.11,9.66
1991,Jul,N,9.51,6.76
1991,Aug,N,7.42,5.21
1991,Sep,N,6.47,4.51
1991,Oct,N,8.54,6.75
1991,Nov,N,10.88,9.25
1991,Dec,N,12.95,11.19
1991,Jan,S,5.34,3.52
1991,Feb,S,3.16,2.09
1991,Mar,S,3.81,2.65
1991,Apr,S,7.05,5.18
1991,May,S,10.28,7.86
1991,Jun,S,13.07,9.99
1991,Jul,S,15.55,12.22
1991,Aug,S,17.72,14.05
1991,Sep,S,18.31,14.47
1991,Oct,S,17.92,13.8
1991,Nov,S,15.58,11.46
