Year,Total greenhouse gas emissions
1990,830696.6
1991,840936.5
1992,821212.8
1993,803452.2
1994,795337.4
1995,791079.6
1996,818825.1
1997,794326.7
1998,795544.8
1999,765962.2
2000,768101.8
2001,775204.9
2002,756913.8
2003,767124.7
2004,769469.8
2005,765934
2006,751687.8
2007,740694.2
2008,722365.2
2009,663614.2
2010,681306.1
2011,640004.8
2012,653487.3
2013,641211.1
2014,608318.8
2015,598369.3
2016,575976.8
2017,563397.2
2018,568570.5
2019,551523
2020,480991
2021,461108.5
2022,441226
2023,421343.5
2024,401460.9
2025,381578.4
2026,361695.9
2027,341813.4
2028,321930.9
2029,302048.4
2030,282165.8
2031,262283.3
2032,242400.8
2033,222518.3
2034,202635.8
2035,182753.3
